region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
Asia,2040,WITCH,No,SR15,SSP1-19,None,100.3510536,NA
Asia,2040,WITCH,No,SR15,SSP1-26,None,107.7565999,NA
Asia,2040,WITCH,No,SR15,SSP1-34,None,115.2688135,NA
Asia,2040,WITCH,No,SR15,SSP2-26,None,106.9386164,NA
Asia,2040,WITCH,No,SR15,SSP2-34,None,115.2333292,NA
Asia,2040,WITCH,No,SR15,SSP5-34,None,104.091534,NA
Latin Am.,2040,AIM,Yes,SR15,ADVANCE_2020_1.5C-2100,None,104.8614022,-0.007188339
Latin Am.,2040,AIM,Yes,SR15,ADVANCE_2020_WB2C,None,95.00626645,-0.006005744
Latin Am.,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1000,None,108.3393572,-0.001517063
Latin Am.,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1600,None,94.7889844,-0.005436605
Latin Am.,2040,AIM,Yes,SR15,EMF33_WB2C_full,None,99.42108759,-0.00055833
Latin Am.,2040,AIM,Yes,SR15,SSP1-19,None,88.46444199,NA
Latin Am.,2040,AIM,Yes,SR15,SSP1-26,None,76.49272151,NA
Latin Am.,2040,AIM,Yes,SR15,SSP1-34,None,70.23833393,NA
Latin Am.,2040,AIM,Yes,SR15,SSP2-19,None,93.5863536,NA
Latin Am.,2040,AIM,Yes,SR15,SSP2-26,None,83.32920818,NA
Latin Am.,2040,AIM,Yes,SR15,SSP2-34,None,68.95218289,NA
Latin Am.,2040,AIM,Yes,SR15,SSP5-26,None,88.83902368,NA
Latin Am.,2040,AIM,Yes,SR15,SSP5-34,None,79.63582946,NA
Latin Am.,2040,BET,No,AR5,EMF27-450-FullTech,None,99.87484485,-0.01376104
Latin Am.,2040,BET,No,AR5,EMF27-550-FullTech,None,75.74314112,-0.001988256
Latin Am.,2040,GCAM,Yes,AR5,AMPERE2-450-FullTech-OPT,None,99.03799255,NA
Latin Am.,2040,GCAM,Yes,AR5,EMF27-450-FullTech,None,92.62291482,-0.002393188
Latin Am.,2040,GCAM,Yes,AR5,EMF27-550-FullTech,None,93.22226685,-0.002018958
Latin Am.,2040,GCAM,Yes,AR5,LIMITS-450,None,91.49149068,-0.002912474
Latin Am.,2040,GCAM,Yes,AR5,LIMITS-500,None,93.69880411,-0.001654636
Latin Am.,2040,GCAM,Yes,AR5,ROSE 450 DEF,None,97.13421181,NA
Latin Am.,2040,GCAM,Yes,AR5,ROSE 550 DEF,None,93.4383623,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP1-19,None,95.98264794,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP1-26,None,106.5549818,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP1-34,None,121.5070276,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP2-19,None,101.2226543,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP2-26,None,83.73742733,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP2-34,None,104.9281402,NA
